gender,senior_citizen,partner,dependents,tenure_months,contract,internet_service,online_security,tech_support,payment_method,support_calls,late_payments,monthly_charges,total_charges,churn
Male,0,Yes,No,32,Month-to-month,DSL,No,Yes,Credit card,0,0,47.46,1531.31,0
Female,0,Yes,No,43,One year,DSL,Yes,No,Electronic check,1,4,54.93,2439.79,0
Female,1,No,No,29,One year,DSL,Yes,No,Credit card,0,0,54.93,1592.22,0
Male,1,Yes,No,26,Two year,Fiber optic,No,No,Electronic check,0,3,90.85,2305.99,1
Female,0,No,No,47,Month-to-month,DSL,Yes,Yes,Bank transfer,1,0,52.4,2587.7,0
Male,0,Yes,No,27,Two year,DSL,Yes,Yes,Electronic check,0,1,52.73,1416.78,0
Male,0,No,No,36,One year,DSL,No,No,Mailed check,2,1,44.53,1659.89,1
Male,0,Yes,No,34,Two year,Fiber optic,No,No,Mailed check,1,1,63.94,2136.71,0
Male,1,No,No,47,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,1,77.34,3666.22,0
Female,0,No,Yes,23,One year,Fiber optic,Yes,No,Electronic check,0,1,72.29,1683.34,0
Female,0,No,Yes,57,Two year,No,No internet service,No internet service,Electronic check,0,0,30.84,1757.87,0
Female,0,Yes,Yes,19,Month-to-month,DSL,Yes,No,Mailed check,1,0,56.77,1200.37,0
Male,0,Yes,Yes,38,Month-to-month,Fiber optic,No,No,Bank transfer,1,1,61.34,2356.65,0
Male,0,Yes,No,35,Month-to-month,DSL,Yes,Yes,Electronic check,1,1,62.16,2153.34,0
Male,0,Yes,No,18,Month-to-month,Fiber optic,No,Yes,Electronic check,0,1,74.9,1442.64,1
Male,1,No,Yes,40,One year,DSL,No,Yes,Bank transfer,3,1,66.22,2540.12,0
Male,0,Yes,No,24,One year,No,No internet service,No internet service,Mailed check,0,1,30.99,656.28,0
Female,0,Yes,No,13,Month-to-month,Fiber optic,No,No,Electronic check,1,0,74.78,1024.94,1
Female,0,No,No,43,One year,Fiber optic,Yes,No,Electronic check,0,1,70.26,3034.78,1
Female,0,Yes,No,10,Month-to-month,Fiber optic,No,Yes,Bank transfer,3,0,79.58,763.02,1
Female,1,Yes,No,15,Month-to-month,Fiber optic,Yes,No,Credit card,3,0,66.87,1026.58,1
Female,0,No,No,28,One year,DSL,No,Yes,Bank transfer,0,1,62.3,1808.38,0
Male,0,Yes,Yes,47,Two year,No,No internet service,No internet service,Credit card,1,0,33.81,1525.67,0
Male,0,No,Yes,41,One year,Fiber optic,Yes,Yes,Bank transfer,1,1,67.39,2757.74,0
Male,0,No,No,32,One year,DSL,Yes,Yes,Mailed check,0,0,63.41,2031.43,0
Male,0,Yes,Yes,7,Two year,DSL,No,No,Credit card,0,1,48.4,357.18,0
Male,0,No,Yes,18,Two year,DSL,Yes,Yes,Electronic check,1,0,71.38,1323.49,1
Female,0,No,Yes,21,One year,Fiber optic,No,Yes,Credit card,0,0,72.4,1402.32,1
Male,0,Yes,No,13,Month-to-month,Fiber optic,Yes,No,Electronic check,1,3,71.29,958.94,1
Female,1,No,No,5,Month-to-month,Fiber optic,Yes,No,Bank transfer,3,0,77.43,272.63,1
Male,0,Yes,No,29,One year,DSL,No,No,Credit card,1,2,54.02,1564.36,0
Female,1,No,No,42,One year,No,No internet service,No internet service,Credit card,1,0,25.8,1020.28,0
Male,0,No,No,20,Month-to-month,DSL,No,Yes,Credit card,2,0,64.21,1296.0,0
Female,0,Yes,No,46,Month-to-month,DSL,No,No,Credit card,1,1,54.67,2554.76,0
Male,1,Yes,No,9,Two year,No,No internet service,No internet service,Mailed check,0,0,20.02,183.61,0
Female,0,Yes,Yes,12,Month-to-month,Fiber optic,Yes,Yes,Mailed check,2,1,84.35,973.01,1
Female,0,No,Yes,29,One year,Fiber optic,Yes,Yes,Mailed check,0,0,88.56,2489.29,0
Female,0,No,No,19,Two year,No,No internet service,No internet service,Electronic check,2,2,18.0,339.78,0
Female,0,Yes,No,40,One year,DSL,No,No,Mailed check,0,2,43.73,1724.77,0
Male,0,Yes,No,36,Month-to-month,DSL,No,Yes,Electronic check,2,0,45.5,1658.19,0
Male,0,No,No,20,Two year,DSL,Yes,No,Credit card,1,0,65.62,1286.56,0
Female,0,Yes,No,9,One year,DSL,Yes,Yes,Bank transfer,0,0,81.52,817.81,0
Female,0,Yes,Yes,18,Month-to-month,Fiber optic,No,No,Electronic check,2,1,63.77,1150.66,1
Female,0,Yes,No,36,One year,Fiber optic,Yes,No,Bank transfer,1,0,80.79,2963.61,0
Male,0,No,No,41,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,1,0,94.18,3831.43,0
Male,1,Yes,No,19,One year,Fiber optic,No,Yes,Credit card,0,0,67.85,1333.25,1
Male,0,No,Yes,5,Two year,DSL,Yes,No,Electronic check,0,0,58.98,332.34,0
Female,1,No,Yes,8,Month-to-month,DSL,No,Yes,Bank transfer,2,0,67.82,501.72,1
Female,0,Yes,No,35,Two year,Fiber optic,Yes,No,Electronic check,1,0,74.11,2504.0,0
Female,0,No,Yes,20,Month-to-month,Fiber optic,No,No,Credit card,2,1,68.59,1447.9,1
Male,0,Yes,Yes,20,Two year,Fiber optic,No,No,Credit card,0,0,80.29,1580.6,0
Male,1,Yes,No,12,One year,No,No internet service,No internet service,Electronic check,4,0,20.86,211.55,1
Male,0,No,No,12,Month-to-month,No,No internet service,No internet service,Electronic check,0,2,19.67,218.02,0
Female,1,Yes,Yes,46,Two year,Fiber optic,Yes,No,Electronic check,1,0,74.79,3383.54,0
Male,0,No,No,35,Two year,Fiber optic,Yes,No,Mailed check,0,1,90.85,3217.55,1
Male,0,No,Yes,16,Month-to-month,Fiber optic,Yes,Yes,Electronic check,2,1,90.68,1450.34,0
Female,0,Yes,No,28,Two year,No,No internet service,No internet service,Credit card,0,1,28.62,804.5,0
Male,1,No,No,31,Month-to-month,Fiber optic,Yes,Yes,Mailed check,1,0,88.53,2812.73,1
Female,0,No,No,70,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,1,68.4,4793.99,0
Female,1,Yes,Yes,11,Month-to-month,DSL,No,No,Bank transfer,2,0,53.86,686.99,1
Female,0,No,No,31,One year,Fiber optic,Yes,Yes,Bank transfer,2,0,80.99,2509.5,0
Male,1,No,No,46,Month-to-month,Fiber optic,No,Yes,Electronic check,5,0,75.88,3400.13,1
Female,0,Yes,No,65,Month-to-month,Fiber optic,No,No,Credit card,1,1,67.47,4332.36,0
